 time            i(Vmeas)        v(Vout)        
 3.11724673e-07  1.00000000e-05  1.57797725e-02 
 3.12724673e-07  1.00000000e-05 -1.54882100e-02 
 3.13724673e-07  1.00000000e-05  1.54607416e-02 
 3.14724673e-07  1.00000000e-05 -1.51789539e-02 
 3.15724673e-07  1.00000000e-05  1.51491175e-02 
 3.16724673e-07  1.00000000e-05 -1.48764575e-02 
 3.17724673e-07  1.00000000e-05  1.48227281e-02 
 3.18646797e-07  1.00000000e-05 -1.45608084e-02 
 3.19507092e-07  1.00000000e-05  1.80092828e+00 
 3.20111834e-07  1.00000000e-05  1.79542073e+00 
 3.20721152e-07  1.00000000e-05  1.80715465e+00 
 3.21502607e-07  1.00000000e-05  1.79247713e+00 
 3.22217232e-07  1.00000000e-05  1.80858641e+00 
 3.22732073e-07  1.00000000e-05  1.79929236e+00 
 3.23148388e-07  1.00000000e-05  3.00942949e-02 
 3.23425741e-07  1.00000000e-05 -2.30764077e-02 
 3.23531853e-07  1.00000000e-05  1.97398785e-02 
 3.23691515e-07  1.00000000e-05 -1.77548830e-02 
 3.23935613e-07  1.00000000e-05  1.71620110e-02 
 3.24156740e-07  1.00000000e-05 -1.61447258e-02 
 3.24598994e-07  1.00000000e-05  1.59186179e-02 
 3.25119875e-07  1.00000000e-05 -1.54566013e-02 
 3.26119875e-07  1.00000000e-05  1.54343937e-02 
 3.27119875e-07  1.00000000e-05 -1.51420497e-02 
 3.28119875e-07  1.00000000e-05  1.51159628e-02 
 3.29119875e-07  1.00000000e-05 -1.48356819e-02 
 3.30119875e-07  1.00000000e-05  1.48062508e-02 
 3.31119875e-07  1.00000000e-05 -1.45369381e-02 
 3.32119875e-07  1.00000000e-05  1.45047328e-02 
 3.33119875e-07  1.00000000e-05 -1.42453039e-02 
 3.34119875e-07  1.00000000e-05  1.42107687e-02 
 3.35119875e-07  1.00000000e-05 -1.39603621e-02 
 3.36119875e-07  1.00000000e-05  1.39238480e-02 
 3.37119875e-07  1.00000000e-05 -1.36817695e-02 
 3.38119875e-07  1.00000000e-05  1.36435583e-02 
 3.39119875e-07  1.00000000e-05 -1.34092405e-02 
 3.40119875e-07  1.00000000e-05  1.33695622e-02 
 3.41119875e-07  1.00000000e-05 -1.31425347e-02 
 3.42119875e-07  1.00000000e-05  1.31016383e-02 
 3.43119875e-07  1.00000000e-05 -1.28815165e-02 
 3.43244875e-07  1.00000000e-05 -2.13515998e-04 
 3.43494875e-07  1.00000000e-05  2.06901114e-04 
 3.43778579e-07  1.00000000e-05 -1.94011759e-04 
 3.44085254e-07  1.00000000e-05  2.12602028e-04 
 3.44423481e-07  1.00000000e-05 -1.83067521e-04 
 3.44902061e-07  1.00000000e-05  1.92666850e-04 
 3.45478050e-07  1.00000000e-05 -3.41112393e-04 
 3.46082720e-07  1.00000000e-05  1.67425795e+00 
 3.46503341e-07  1.00000000e-05  1.85684142e+00 
 3.46900015e-07  1.00000000e-05  1.74640023e+00 
 3.47347420e-07  1.00000000e-05  1.84068451e+00 
 3.47820322e-07  1.00000000e-05  1.76190030e+00 
 3.48485488e-07  1.00000000e-05  1.83169158e+00 
